player,team,position,role,owner_status,roster_status,age,fpts,fpg_raw,fpg_regressed,ros_pct,rkov,estimated_games,sample_confidence,win_now_score,dynasty_score,dynasty_minus_win_now,ip,ip_pct,whip,k_per_9,qs_rate,prospect_bonus,age_curve,mlb_overall_rank,mlb_org_rank,vor,vor_pos
Oscar Hernandez,(N/A),RP,RP,FA,Free Agent,20.0,0.0,0.0,3.32,0.0,4707.0,0.0,0.0,28.77,29.53,0.77,0.0,10.65,,,,0.0,14.0,,,-103.0,RP
Leandro Hernandez,(N/A),RP,RP,FA,Free Agent,24.0,0.0,0.0,3.32,0.0,4692.0,0.0,0.0,28.77,25.53,-3.23,0.0,10.65,,,,0.0,10.0,,,-103.0,RP
Federik Jimenez,(N/A),RP,RP,FA,Free Agent,21.0,0.0,0.0,3.32,0.0,5068.0,0.0,0.0,28.77,29.53,0.77,0.0,10.65,,,,0.0,14.0,,,-103.0,RP
Cristian Jimenez,(N/A),RP,RP,FA,Free Agent,22.0,0.0,0.0,3.32,0.0,5060.0,0.0,0.0,28.77,29.53,0.77,0.0,10.65,,,,0.0,14.0,,,-103.0,RP
Woo Joo Jeong,(N/A),RP,RP,FA,Free Agent,19.0,0.0,0.0,3.32,0.0,5043.0,0.0,0.0,28.77,29.53,0.77,0.0,10.65,,,,0.0,14.0,,,-103.0,RP
Enderson Jean,(N/A),RP,RP,FA,Free Agent,21.0,0.0,0.0,3.32,0.0,5025.0,0.0,0.0,28.77,29.53,0.77,0.0,10.65,,,,0.0,14.0,,,-103.0,RP
Sebastian Javier,(N/A),RP,RP,FA,Free Agent,22.0,0.0,0.0,3.32,0.0,5020.0,0.0,0.0,28.77,29.53,0.77,0.0,10.65,,,,0.0,14.0,,,-103.0,RP
Gabriel Jackson,(N/A),RP,RP,FA,Free Agent,24.0,0.0,0.0,3.32,0.0,4985.0,0.0,0.0,28.77,25.53,-3.23,0.0,10.65,,,,0.0,10.0,,,-103.0,RP
Edgar Isea,(N/A),RP,RP,FA,Free Agent,23.0,0.0,0.0,3.32,0.0,4971.0,0.0,0.0,28.77,25.53,-3.23,0.0,10.65,,,,0.0,10.0,,,-103.0,RP
Jonathan Hughes,(N/A),RP,RP,FA,Free Agent,29.0,0.0,0.0,3.32,0.0,4912.0,0.0,0.0,28.77,15.53,-13.23,0.0,10.65,,,,0.0,0.0,,,-103.0,RP
Grif Hughes,COL,RP,RP,FA,Free Agent,24.0,0.0,0.0,3.32,0.0,4910.0,0.0,0.0,28.77,25.53,-3.23,0.0,10.65,,,,0.0,10.0,,,-103.0,RP
Zac Houston,(N/A),RP,RP,FA,Free Agent,31.0,0.0,0.0,3.32,0.0,4884.0,0.0,0.0,28.77,15.53,-13.23,0.0,10.65,,,,0.0,0.0,,,-103.0,RP
Luke Hoskins,DET,RP,RP,FA,Free Agent,23.0,0.0,0.0,3.32,0.0,4875.0,0.0,0.0,28.77,25.53,-3.23,0.0,10.65,,,,0.0,10.0,,,-103.0,RP
Keylan Killgore,(N/A),RP,RP,FA,Free Agent,29.0,0.0,0.0,3.32,0.0,5262.0,0.0,0.0,28.77,15.53,-13.23,0.0,10.65,,,,0.0,0.0,,,-103.0,RP
Mitchell Kilkenny,(N/A),RP,RP,FA,Free Agent,29.0,0.0,0.0,3.32,0.0,5261.0,0.0,0.0,28.77,15.53,-13.23,0.0,10.65,,,,0.0,0.0,,,-103.0,RP
Nathan Karaffa,(N/A),RP,RP,FA,Free Agent,25.0,0.0,0.0,3.32,0.0,5188.0,0.0,0.0,28.77,25.53,-3.23,0.0,10.65,,,,0.0,10.0,,,-103.0,RP
