"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*048tn*","Carlos Narvaez","BOS","C","689","FA","27","43","0.98","20%","-1%","126","15","25","18","5","0","2","4","11","44","1","0","2","5","44"
"*0316t*","Adam Frazier","LAA","2B,OF","681","FA","34","43","1.05","5%","0%","81","15","17","10","5","1","1","6","9","28","0","0","1","1","41"
"*03qmh*","Jake Cronenworth","SD","2B","688","FA","32","42.5","1.33","30%","0%","97","13","14","11","2","0","1","4","14","23","1","0","3","1","32"
"*05u2k*","Hao-Yu Lee","DET","2B,3B","691","FA","23","42","1.11","11%","0%","102","7","23","16","4","1","2","10","4","28","1","1","0","1","38"
"*026mn*","Javier Baez","DET","SS,OF","696","FA","33","41","1.71","22%","-1%","78","10","20","13","5","0","2","6","2","16","1","1","1","2","24"
"*04pwl*","Hunter Feduccia","TB","C","697","FA","29","41","1","4%","0%","85","11","21","17","3","0","1","7","11","30","0","0","1","1","41"
"*04qri*","Braden Shewmake","HOU","2B,SS","699","FA","28","40.5","1.45","6%","0%","74","8","18","12","3","0","3","8","2","13","0","0","0","1","28"
"*04llv*","Lenyn Sosa","TOR","1B,2B","707","FA","26","39.5","0.99","21%","0%","113","11","22","14","7","0","1","9","1","25","0","0","1","2","40"
"*04is5*","Everson Pereira","CHW","OF","712","FA","25","38.5","1.83","13%","-2%","69","7","16","9","4","0","3","7","5","23","1","0","2","2","21"
"*02bv2*","Eric Haase","SF","C","711","FA","33","38.5","1.83","2%","0%","56","8","12","5","3","0","4","9","4","17","0","0","0","1","21"
"*0516g*","Ryan Ward","LAD","1B,OF","715","FA","28","38","2.38","20%","-2%","46","8","11","4","4","0","3","11","5","16","0","0","0","2","16"
"*041pq*","Taylor Trammell","HOU","OF","718","FA","28","37.5","1.29","4%","-1%","76","9","21","15","5","1","0","7","6","31","1","0","1","0","29"
"*03pji*","Ke'Bryan Hayes","CIN","3B","720","FA","29","37","0.84","15%","0%","120","10","17","12","2","1","2","5","8","20","1","0","0","5","44"
"*05jsc*","Sterlin Thompson","COL","OF","722","FA","24","37","1.42","11%","0%","67","7","16","10","4","0","2","9","5","20","0","0","3","3","26"
"*051b4*","Jordan Beck","COL","OF","724","FA","25","36","1.2","34%","0%","82","7","15","8","5","1","1","10","5","22","2","1","0","3","30"
"*04y9i*","Tyler Callihan","PIT","OF","731","FA","25","36","2.25","18%","0%","36","6","10","5","2","1","2","6","7","12","1","0","1","0","16"
