"ID","Player","Team","Position","RkOv","Status","Age","FPts","FP/G","Ros","+/-","AB","R","H","1B","2B","3B","HR","RBI","BB","SO","SB","CS","HBP","GIDP","GP"
"*01t5w*","Miguel Rojas","LAD","2B,SS","534","FA","37","90","1.32","7%","0%","143","16","42","30","9","0","3","17","10","16","0","1","2","6","68"
"*02nqg*","Luis Torrens","NYM","C","535","FA","30","90","1.48","5%","0%","166","22","37","24","11","0","2","19","11","38","0","0","4","1","61"
"*04z6k*","Luisangel Acuna","CHW","2B,SS,OF","541","FA","24","88.5","1.25","27%","0%","150","18","37","33","3","0","1","12","7","29","15","4","1","4","71"
"*031b3*","Isiah Kiner-Falefa","BOS","2B,SS","544","FA","31","87","1.85","10%","0%","119","19","33","27","4","0","2","13","12","18","7","2","0","3","47"
"*05gsg*","Justin Foscue","TEX","1B,2B","548","FA","27","86.5","1.73","13%","0%","112","15","31","17","7","0","7","19","10","31","0","0","2","3","50"
"*0529l*","Endy Rodriguez","PIT","C,1B","553","FA","26","85.5","2.44","26%","-2%","100","15","26","15","6","0","5","16","21","29","2","0","0","3","35"
"*05jr5*","Blake Dunn","CIN","OF","555","FA","27","84.5","2.22","11%","0%","142","20","40","30","7","1","2","7","10","33","6","3","2","2","38"
"*04eme*","Tristan Gray","MIN","2B,3B,SS","556","FA","30","84.5","1.34","6%","0%","168","16","39","30","5","0","4","29","9","57","2","0","1","2","63"
"*041w3*","Eli White","ATL","OF","557","FA","32","84.5","1.43","4%","0%","122","17","27","16","5","1","5","17","9","31","4","0","1","1","59"
"*045gu*","TJ Friedl","CIN","OF","559","FA","30","84","1.38","30%","0%","194","18","34","24","6","1","3","11","18","52","5","0","4","2","61"
"*04ppo*","Kyle Isbel","KC","OF","560","FA","29","83.5","1.49","14%","0%","164","16","40","29","7","1","3","11","10","41","5","0","3","4","56"
"*02mx2*","Tyrone Taylor","NYM","OF","565","FA","32","82","1.41","4%","0%","126","15","29","15","7","0","7","18","6","24","0","2","0","0","58"
"*070bf*","Sung Mun Song","SD","2B,3B","569","FA","29","81.5","1.81","23%","0%","91","16","21","16","4","0","1","15","13","17","11","2","0","2","45"
"*02brk*","Austin Hedges","CLE","C","568","FA","33","81.5","1.63","3%","0%","130","17","37","27","7","0","3","14","11","25","1","1","1","3","50"
"*041qv*","Alex Call","LAD","OF","571","FA","31","81","1.4","4%","0%","114","19","29","23","5","0","1","16","18","22","1","1","3","2","58"
"*04y79*","Victor Mesa Jr.","TB","OF","578","FA","24","80.5","2.18","10%","+4%","101","16","22","12","2","0","8","15","13","27","3","2","0","2","37"
"*04pt2*","Lars Nootbaar","STL","OF","581","FA","28","80","2.22","47%","-4%","117","18","30","20","6","1","3","12","20","30","1","1","0","3","36"
"*04mn2*","Griffin Conine","MIA","OF","583","FA","29","79.5","2.34","18%","+4%","91","15","25","14","4","0","7","16","10","33","2","0","2","1","34"
"*04efi*","Connor Wong","BOS","C","584","FA","30","79.5","1.77","6%","0%","119","14","33","24","8","0","1","15","15","31","3","1","4","2","45"
"*03nri*","Lourdes Gurriel Jr.","ARI","OF","588","FA","32","79","1.68","25%","-1%","174","12","36","26","8","0","2","21","10","34","1","0","2","1","47"
"*04z8z*","Yohendrick Pinango","TOR","OF","589","FA","24","78.5","1.54","13%","-2%","150","11","40","28","7","0","5","20","10","37","0","0","0","6","51"
"*03qmh*","Jake Cronenworth","SD","2B","594","FA","32","76.5","1.56","30%","0%","155","18","30","23","4","0","3","12","15","37","3","0","3","2","49"
"*04yuu*","Patrick Bailey","CLE","C","593","FA","27","76.5","1.12","13%","0%","191","18","38","28","5","1","4","17","13","53","2","0","0","6","68"
"*05ahg*","Austin Wells","NYY","C","603","FA","27","75","1.09","32%","-1%","202","19","32","24","2","0","6","13","26","62","1","0","0","6","69"
"*0648z*","Victor Scott","STL","OF","602","FA","25","75","1.23","24%","0%","155","19","30","24","4","0","2","9","16","44","9","4","2","3","61"
"*05u2k*","Hao-Yu Lee","DET","2B,3B","601","FA","23","75","1.29","11%","-1%","160","12","41","29","7","1","4","17","7","44","1","2","0","1","58"
"*041sg*","Nicky Lopez","TEX","2B,3B","612","FA","31","72","1.53","6%","0%","129","15","40","36","3","0","1","13","4","20","4","2","2","4","47"
"*03qyb*","Donovan Walton","ATH","2B","614","FA","32","71.5","1.99","4%","-2%","98","16","29","18","8","0","3","12","9","21","0","0","1","2","36"
"*04eep*","Luis Campusano","SD","C","617","FA","27","71","2.45","16%","0%","74","14","22","11","7","0","4","12","13","20","0","0","1","0","29"
"*05jn0*","Adrian Del Castillo","ARI","C","618","FA","26","71","1.37","8%","0%","154","14","30","20","5","0","5","23","13","48","0","0","0","5","52"
"*04psr*","David Fry","CLE","OF,UT","619","FA","30","71","1.09","6%","0%","134","16","26","16","4","0","6","13","22","48","0","0","0","4","65"
"*039vx*","Jose Siri","LAA","OF","623","FA","30","70","1.46","4%","-1%","89","19","23","15","3","0","5","18","6","28","1","1","2","3","48"
"*03qtv*","Brett Sullivan","COL","C,RP","625","FA","32","69.5","1.36","2%","0%","127","13","28","15","8","1","4","15","7","25","0","1","1","3","51"
"*06in4*","Hyeseong Kim","LAD","2B,SS","631","FA","27","68.5","1.59","28%","0%","116","16","30","25","3","1","1","11","12","31","5","1","0","2","43"
"*02bqh*","Trevor Story","BOS","SS","638","FA","33","67.5","1.65","57%","0%","165","16","34","24","7","0","3","19","8","57","4","0","1","6","41"
"*041vt*","Samad Taylor","SD","OF,UT","642","FA","28","66","2.54","25%","-8%","88","14","29","26","1","1","1","11","12","30","6","1","0","2","26"
"*05lo5*","Freddy Fermin","SD","C","645","FA","31","65.5","1.06","8%","0%","145","15","23","12","8","0","3","11","17","33","0","1","2","2","62"
"*031cd*","Mitch Garver","SEA","C","651","FA","35","64.5","1.4","4%","0%","114","17","21","14","3","0","4","14","20","43","0","0","1","2","46"
"*04mrb*","Jorge Barrosa","ARI","OF","649","FA","25","64.5","0.92","3%","0%","116","21","22","8","11","1","2","10","11","37","0","0","1","1","70"
"*0519u*","Tyler Tolbert","KC","OF,RP","663","FA","28","63.5","1.72","21%","-4%","58","17","20","17","1","0","2","5","4","11","11","3","0","3","37"
"*04eey*","MJ Melendez","NYM","OF","664","FA","27","63","1.12","4%","0%","120","14","23","13","5","1","4","11","17","50","0","1","5","0","56"
"*05jq3*","Joey Wiemer","WSH","OF","667","FA","27","62.5","1.95","12%","0%","70","16","20","11","5","1","3","12","12","29","1","0","1","2","32"
