"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","FPts","FP/G","Ros","+/-"
"*02xic*","Teoscar Hernandez","LAD","OF","206","CLANK","Reserve","33","131.5","2.58","95%","-1%"
"*06plc*","Sam Antonacci","CHW","2B,3B,SS,OF","205","Sasso","Active","23","131.5","2.68","73%","0%"
"*03btv*","Sandy Alcantara","MIA","SP","207","zyoung51","Active","30","131","9.36","98%","0%"
"*04pmu*","Ryan Jeffers","MIN","C","208","joeybats","Inj Res","29","130.5","3.53","74%","-1%"
"*05a1v*","Keider Montero","DET","SP,RP","209","Kipp","Active","25","130","10","47%","-4%"
"*02bx4*","Clay Holmes","NYM","SP","210","KRetiree","Inj Res","33","130","14.44","73%","-1%"
"*03dc4*","Freddy Peralta","NYM","SP","211","JMerkle","Active","30","129","9.21","99%","0%"
"*04pxo*","Erik Sabrowski","CLE","RP","214","GoldTY","Inj Res","28","129","5.16","57%","-1%"
"*03aqv*","Raisel Iglesias","ATL","RP","217","Sasso","Active","36","128","6.1","97%","0%"
"*01gya*","Aroldis Chapman","BOS","RP","218","zyoung51","Active","38","128","6.4","98%","0%"
"*04yk2*","Spencer Torkelson","DET","1B","220","JMerkle","Active","26","128","1.88","82%","-1%"
"*066er*","Grant Taylor","CHW","SP,RP","221","Hutch","Active","24","128","4.92","70%","+2%"
"*05rbv*","Samuel Basallo","BAL","C","222","Sasso","Active","21","127.5","2.2","95%","-1%"
"*02bu9*","Marcus Semien","NYM","2B","224","zyoung51","Reserve","35","127.5","1.88","64%","-1%"
"*05rb1*","Sal Frelick","MIL","OF","223","Greenbet","Active","26","127.5","2.02","62%","-2%"
"*05gwy*","Masyn Winn","STL","SS","225","Sethmc44","Reserve","24","126.5","2.14","60%","-2%"
"*0260v*","Sonny Gray","BOS","SP","227","Kipp","Active","36","126","11.45","98%","0%"
"*041r5*","Dustin May","STL","SP","228","Hutch","Active","28","126","9.69","72%","0%"
"*03sef*","Seth Lugo","KC","SP","229","joeybats","Active","36","126","9","87%","-3%"
"*02zoa*","Antonio Senzatela","COL","SP,RP","231","joeybats","Reserve","31","125","6.25","49%","-4%"
"*05ycf*","Noah Cameron","KC","SP","233","Greenbet","Active","26","125","10.42","86%","0%"
"*04eig*","Jose Caballero","NYY","SS,OF","234","JMerkle","Reserve","29","124.5","2.22","85%","-2%"
"*04pr1*","Steven Kwan","CLE","OF","236","Greenbet","Active","28","124","1.97","83%","-2%"
"*051eh*","Kevin Kelly","TB","RP","237","Greenbet","Active","28","124","4.28","44%","-1%"
"*04pr8*","Taj Bradley","MIN","SP","238","Sethmc44","Active","25","124","10.33","94%","-1%"
"*02btx*","Tyler Glasnow","LAD","SP","239","GoldTY","Inj Res","32","123","17.57","97%","-2%"
"*04ew7*","Aaron Ashby","MIL","RP","240","CLANK","Active","28","123","4.1","71%","-2%"
"*05vy5*","Carter Jensen","KC","C","243","Jpanner","Reserve","22","122.5","1.94","85%","-1%"
"*0423c*","Carlos Cortes","ATH","OF","242","joeybats","Reserve","28","122.5","2.27","48%","-6%"
"*05133*","Andre Pallante","STL","SP","244","Hutch","Not On Team","27","122","9.38","47%","+1%"
"*03dbm*","Logan Webb","SF","SP","245","GoldTY","Active","29","122","11.09","99%","0%"
"*05yb8*","Chad Patrick","MIL","SP,RP","246","Kipp","Active","27","122","6.78","57%","-1%"
"*03qr0*","Cedric Mullins","TB","OF","247","JMerkle","Reserve","31","121.5","2.09","36%","-1%"
"*05ym7*","Fernando Cruz","NYY","RP","248","Sethmc44","Active","36","121","3.78","40%","0%"
"*04ptt*","Tarik Skubal","DET","SP","249","JMerkle","Inj Res","29","121","17.29","99%","0%"
"*04cd5*","MacKenzie Gore","TEX","SP","250","Sasso","Active","27","120","8.57","96%","-1%"
"*03pzn*","Andres Gimenez","TOR","2B,SS","251","Jpanner","Reserve","27","120","1.82","61%","-4%"
"*05xod*","Sean Burke","CHW","SP","252","Greenbet","Active","26","120","9.23","64%","-3%"
"*04pps*","Hogan Harris","ATH","RP","253","Sethmc44","Not On Team","29","119","3.4","47%","-1%"
"*03btu*","Willi Castro","COL","2B,3B,OF","255","CLANK","Active","29","118.5","2.04","50%","+1%"
"*05y23*","Tanner Bibee","CLE","SP","257","kyfaess","Active","27","118","8.43","91%","-1%"
"*066du*","Brad Lord","WSH","SP,RP","258","Greenbet","Not On Team","26","118","5.9","26%","0%"
"*03dfa*","Tanner Scott","LAD","RP","260","Kipp","Active","31","118","3.93","76%","-1%"
"*01fhm*","Martin Perez","ATL","SP","262","Jpanner","Active","35","117","9","45%","0%"
"*04auk*","Seranthony Dominguez","CHW","RP","263","Sethmc44","Active","31","117","4.33","76%","-2%"
"*05m1e*","Jackson Chourio","MIL","OF","265","Hutch","Active","22","116.5","3.64","99%","0%"
"*025dn*","Christian Yelich","MIL","UT","266","joeybats","Reserve","34","116.5","3.15","98%","0%"
"*05itb*","Randy Vasquez","SD","SP","267","kyfaess","Reserve","27","116","8.92","77%","-7%"
"*043ia*","Adrian Morejon","SD","RP","268","Coop","Reserve","27","116","3.74","50%","-3%"
"*042sz*","Will Smith","LAD","C","270","GoldTY","Active","31","115","2.17","97%","-1%"
"*02z96*","Dominic Smith","ATL","1B","269","zyoung51","Reserve","30","115","2.09","23%","-1%"
"*05zde*","Travis Bazzana","CLE","2B","271","KRetiree","Active","23","114.5","2.94","89%","0%"
"*0374m*","Tyler Rogers","TOR","RP","273","Coop","Reserve","35","114","3.56","46%","0%"
"*04aqc*","David Bednar","NYY","RP","275","JMerkle","Active","31","113","4.19","96%","0%"
"*031t0*","Gleyber Torres","DET","2B","277","kyfaess","Active","29","113","2.83","84%","0%"
"*04s1g*","Gabriel Moreno","ARI","C","276","kyfaess","Active","26","113","2.57","73%","+1%"
"*01u75*","Salvador Perez","KC","C","280","joeybats","Active","36","112.5","1.79","90%","-3%"
"*03dp8*","Ramon Laureano","SD","OF","278","Kipp","Reserve","31","112.5","2.12","50%","-14%"
"*05gef*","Cade Cavalli","WSH","SP","281","Jpanner","Active","27","112","8","80%","-5%"
"*03d6p*","Grant Holmes","ATL","SP","283","joeybats","Active","30","109","8.38","70%","-1%"
"*03d7h*","Mitch Keller","PIT","SP","291","Sethmc44","Active","30","109","7.79","89%","-4%"
"*02mw6*","Corey Seager","TEX","SS","289","Jpanner","Active","32","109","2.32","97%","0%"
"*05yj1*","Nolan Schanuel","LAA","1B","288","KRetiree","Reserve","24","109","2.06","52%","-1%"
"*04e2u*","Brent Rooker","ATH","UT","290","KRetiree","Active","31","108.5","2.26","96%","-1%"
"*04cwf*","Shane Baz","BAL","SP","292","joeybats","Active","26","108","8.31","88%","-2%"
"*04pqo*","Braydon Fisher","TOR","SP,RP","293","Greenbet","Active","25","107","3.15","30%","-2%"
"*04yib*","Brett Baty","NYM","2B,3B,OF","294","Coop","Reserve","26","107","1.65","47%","-3%"
"*04mra*","Ezequiel Tovar","COL","SS","299","Greenbet","Reserve","24","105","1.59","59%","-2%"
"*05jq2*","Andrew Abbott","CIN","SP","300","KRetiree","Active","27","104","7.43","88%","-2%"
"*05rfu*","Kyle Manzardo","CLE","1B","301","CLANK","Reserve","25","104","1.73","53%","-1%"
"*025j1*","Robbie Ray","SF","SP","303","Kipp","Active","34","104","7.43","91%","-1%"
"*05aoc*","Eury Perez","MIA","SP","304","Coop","Inj Res","23","104","8.67","92%","-1%"
"*024m0*","Jose Altuve","HOU","2B,OF","305","GoldTY","Reserve","36","103.5","2.16","95%","0%"
"*05y30*","Justin Crawford","PHI","OF","307","zyoung51","Reserve","22","103","1.63","63%","-2%"
"*04pma*","Daniel Lynch","KC","RP","308","Greenbet","Active","29","103","3.68","31%","-2%"
"*03rmz*","Keibert Ruiz","WSH","C","311","Sethmc44","Active","27","102.5","2.38","63%","-2%"
"*04pq4*","Kyle Bradish","BAL","SP","295","Coop","Active","29","102","7.29","96%","-1%"
"*04auj*","Framber Valdez","DET","SP","315","Hutch","Reserve","32","101","7.21","98%","0%"
"*03dau*","Trevor Megill","MIL","RP","316","joeybats","Active","32","101","4.04","87%","-2%"
"*05y2l*","Emmet Sheehan","LAD","SP","317","kyfaess","Active","26","101","8.42","94%","-2%"
"*02mxf*","Carson Kelly","CHC","C","318","Greenbet","Active","31","100.5","1.97","58%","-4%"
"*05gdz*","Roki Sasaki","LAD","SP","322","Sasso","Active","24","100","9.09","93%","0%"
"*05nso*","Abner Uribe","MIL","RP","327","kyfaess","Active","25","99","3.96","78%","-2%"
"*04azu*","Kumar Rocker","TEX","SP","328","Coop","Active","26","98","7.54","54%","0%"
"*05jsg*","Owen Caissie","MIA","OF","329","joeybats","Reserve","23","98","1.61","57%","-2%"
"*059bx*","Brady House","WSH","3B","330","Kipp","Minors","23","98","2.23","47%","-1%"
"*0425t*","Bailey Ober","MIN","SP","334","Kipp","Inj Res","30","97","8.08","74%","-4%"
"*0403o*","Andres Munoz","SEA","RP","340","joeybats","Active","27","96","3.69","96%","-1%"
"*04ppj*","Jeremy Pena","HOU","SS","343","CLANK","Active","28","96","3","95%","0%"
"*0622t*","Jacob Wilson","ATH","SS","344","Sasso","Reserve","24","96","2.46","90%","0%"
"*04mlr*","Jeffrey Springs","ATH","SP","345","Greenbet","Active","33","96","6.86","68%","-6%"
"*04y9o*","Jack Leiter","TEX","SP","348","Jpanner","Active","26","95","7.31","87%","-3%"
"*025he*","George Springer","TOR","OF","351","KRetiree","Active","36","95","2.02","89%","-3%"
"*04ai4*","Nolan Gorman","STL","3B","349","Kipp","Reserve","26","95","1.53","43%","-3%"
