name,mlb_id,recent_games,recent_fpts,recent_fpg,group
Elvis Alvarado,665660,12,42.0,3.5,pitching
Mason Fluharty,689254,14,42.0,3.0,pitching
Carlos Rodón,607074,4,42.0,10.5,pitching
Drew Anderson,623454,6,42.0,7.0,pitching
Garrett Mitchell,669003,23,41.5,1.8,hitting
Jared Triolo,669707,23,41.5,1.8,hitting
Marcus Semien,543760,25,41.5,1.66,hitting
Cam Smith,701358,25,41.5,1.66,hitting
Kyle Tucker,663656,26,41.5,1.6,hitting
Ceddanne Rafaela,678882,22,41.0,1.86,hitting
Vladimir Guerrero Jr.,665489,21,41.0,1.95,hitting
Mauricio Dubón,643289,25,41.0,1.64,hitting
Jake Cronenworth,630105,26,41.0,1.58,hitting
Andrew Kittredge,552640,11,41.0,3.73,pitching
Alec Gamboa,687941,9,41.0,4.56,pitching
Logan Gilbert,669302,5,41.0,8.2,pitching
Adley Rutschman,668939,19,40.5,2.13,hitting
Yainer Diaz,673237,21,40.0,1.9,hitting
Patrick Bailey,672275,20,40.0,2.0,hitting
Jorbit Vivas,678391,22,40.0,1.82,hitting
Craig Yoho,684974,11,40.0,3.64,pitching
Juan Morillo,666661,11,40.0,3.64,pitching
Alex McFarlane,686934,11,40.0,3.64,pitching
Julian Garcia,670062,12,40.0,3.33,pitching
Paul Skenes,694973,5,40.0,8.0,pitching
Bryan Hudson,663542,11,40.0,3.64,pitching
Tyler Glasnow,607192,3,40.0,13.33,pitching
Ian Seymour,693855,5,40.0,8.0,pitching
Cody Bellinger,641355,15,39.5,2.63,hitting
Carlos Cortes,666126,23,39.5,1.72,hitting
Abimelec Ortiz,694673,26,39.5,1.52,hitting
Christian Walker,572233,25,39.5,1.58,hitting
